Deletion_NGS_plate,Deletion_plate,Internal_NGS_plate,Internal_plate
Miller-Plate01,4G5 Del-1,Miller-Plate09,4G5 5'-1
Miller-Plate02,4G5 Del-2,Miller-Plate10,4G5 5'-2
Miller-Plate03,4G5 Del-3,Miller-Plate11,4G5 5'-3
Miller-Plate04,4G5 Del-4,Miller-Plate12,4G5 5'-4
Miller-Plate05,4G5 Del-5,Miller-Plate13,4G5 5'-5
Miller-Plate06,4G5 Del-6,Miller-Plate14,4G5 5'-6
Miller-Plate07,4G5 Del-7,Miller-Plate15,4G5 5'-7
Miller-Plate08,4G5 Del-8,Miller-Plate16,4G5 5'-8
Miller-Plate33,1C9 Del-1,Miller-Plate17,1C9-1
Miller-Plate34,1C9 Del-2,Miller-Plate18,1C9-2
Miller-Plate35,1C9 Del-3,Miller-Plate19,1C9-3
Miller-Plate36,1C9 Del-4,Miller-Plate20,1C9-4
Miller-Plate37,1C9 Del-5,Miller-Plate21,1C9-5
Miller-Plate38,1C9 Del-6,Miller-Plate22,1C9-6
Miller-Plate39,1C9 Del-7,Miller-Plate23,1C9-7
